id;expense_date;expense_amount;expense_type;expense_type_detail;expense_payer;expense_receiver;expense_remark;expense_receipt;expense_receipt_content_type;is_active;modifier;modify_datetime;creator;create_datetime
1;2025-02-01T19:51:46;31484.99;cleverly unlike;opine per;standardize;speedily because;generously;../fake-data/blob/hipster.png;image/png;true;nasal dimly offer;2025-02-01T10:23:47;deviate unless;2025-02-01T13:32:35
2;2025-02-01T13:27:53;4093.77;deceivingly out carefully;within;agreeable deeply unnecessarily;unhealthy noted;cheerful;../fake-data/blob/hipster.png;image/png;false;definitive chin sweetly;2025-02-01T23:07:28;dealer indeed doing;2025-02-01T14:23:45
3;2025-02-01T07:37:15;25466.2;pro;geez or sweetly;ew opposite;yawningly brisk of;exert;../fake-data/blob/hipster.png;image/png;true;since equally beneath;2025-02-02T06:45:32;exit unsaddle incidentally;2025-02-01T20:24:10
4;2025-02-02T06:49:15;15719.69;diligent super for;ick dreamily inequality;pave;detain;since around flowery;../fake-data/blob/hipster.png;image/png;false;ceremony out into;2025-02-01T18:06:56;ick drat;2025-02-02T03:03:16
5;2025-02-02T01:52:47;21512.94;even midst until;revalue;instead nor;though;sugar internalise pastry;../fake-data/blob/hipster.png;image/png;false;wherever anti;2025-02-01T12:47:52;humongous;2025-02-01T15:20:13
6;2025-02-01T07:17:30;16631.98;yowza quicker;trained;alphabetise;splutter uh-huh;lest;../fake-data/blob/hipster.png;image/png;true;funny nor;2025-02-01T21:49:01;joyfully justly;2025-02-02T00:46:11
7;2025-02-01T13:01:48;8946.01;so;what number whenever;how wrench;prime;regal surprisingly besides;../fake-data/blob/hipster.png;image/png;false;leprosy runny judgementally;2025-02-01T11:58:12;whopping bill;2025-02-02T03:30:03
8;2025-02-02T03:46:41;3093.72;scented sunny balance;normalize;after;provided lest raw;slope upliftingly fang;../fake-data/blob/hipster.png;image/png;true;which condominium;2025-02-01T12:04:17;excepting bird-watcher;2025-02-02T06:38:36
9;2025-02-02T06:10:14;21610.87;though mundane;aside;meanwhile;bulldoze hourly;gah bleakly;../fake-data/blob/hipster.png;image/png;false;smoothly offensively redirect;2025-02-01T20:23:17;oyster viscose;2025-02-01T15:35:23
10;2025-02-01T10:04:35;16813.74;snooker furthermore;seriously happily yahoo;perky before huzzah;overcooked;amidst;../fake-data/blob/hipster.png;image/png;true;oof nicely confused;2025-02-01T14:26:32;uncomfortable certainly;2025-02-01T15:01:28
